City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Jose,US,2022-05-16 May:30:56,37.3394,-121.895,298.09,52,75,7.72
68,Nanortalik,GL,2022-05-16 May:43:15,60.1432,-45.2371,276.59,82,99,2.21
69,Itarema,BR,2022-05-16 May:43:15,-2.9248,-39.9167,298.38,85,89,4.64
70,Devils Lake,US,2022-05-16 May:35:13,48.1128,-98.8651,289.79,49,100,4.12
71,Avarua,CK,2022-05-16 May:33:19,-21.2078,-159.775,301.18,69,75,4.12
72,Rocha,UY,2022-05-16 May:43:16,-34.4833,-54.3333,284.64,84,96,9.05
73,Bethel,US,2022-05-16 May:38:11,41.3712,-73.414,292.24,90,75,2.06
74,Honiara,SB,2022-05-16 May:43:17,-9.4333,159.95,303.29,65,52,0.92
75,Jamestown,US,2022-05-16 May:30:34,42.097,-79.2353,289.0,77,75,6.69
76,Lucapa,AO,2022-05-16 May:43:17,-8.4192,20.7447,292.21,62,37,1.46
77,Longyearbyen,SJ,2022-05-16 May:32:55,78.2186,15.6401,271.06,93,75,1.03
78,Brae,GB,2022-05-16 May:43:18,60.3964,-1.353,282.56,90,100,6.23
79,Bambous Virieux,MU,2022-05-16 May:39:42,-20.3428,57.7575,297.29,73,75,5.14
80,San Patricio,US,2022-05-16 May:37:05,28.017,-97.5169,306.23,60,1,6.88
81,Isla Mujeres,MX,2022-05-16 May:43:18,21.2311,-86.731,302.18,65,0,5.98
82,Hervey Bay,AU,2022-05-16 May:35:43,-25.2986,152.8535,297.6,92,7,3.57
83,Carnarvon,AU,2022-05-16 May:35:25,-24.8667,113.6333,294.38,58,0,3.1
84,Domoni,KM,2022-05-16 May:43:19,-12.2569,44.5319,298.42,74,20,2.99
85,Hithadhoo,MV,2022-05-16 May:33:58,-0.6,73.0833,302.14,69,96,8.18
86,Batagay,RU,2022-05-16 May:43:20,67.6333,134.6333,273.4,83,98,0.3
87,Cabo San Lucas,MX,2022-05-16 May:34:46,22.8909,-109.9124,305.76,39,75,5.14
88,Chuy,UY,2022-05-16 May:43:20,-33.6971,-53.4616,284.67,86,70,7.27
89,Talcahuano,CL,2022-05-16 May:43:21,-36.7167,-73.1167,283.97,87,100,2.06
90,Vardo,NO,2022-05-16 May:39:31,70.3705,31.1107,274.14,86,100,5.66
91,Abaca,PH,2022-05-16 May:43:21,9.9204,124.5051,301.35,78,48,4.19
92,Karaton,ID,2022-05-16 May:43:22,-6.3424,106.1045,297.83,92,99,2.05
93,Killybegs,IE,2022-05-16 May:43:22,54.6333,-8.45,285.56,85,92,6.44
94,San Quintin,MX,2022-05-16 May:44:23,30.4833,-115.95,291.37,73,1,7.63
95,Mahebourg,MU,2022-05-16 May:44:23,-20.4081,57.7,297.31,73,75,5.14
96,Bonga,ET,2022-05-16 May:44:24,7.2833,36.2333,288.82,99,74,0.82
97,Charcas,MX,2022-05-16 May:44:24,23.1333,-101.1167,299.69,14,37,6.25
98,Ahipara,NZ,2022-05-16 May:44:24,-35.1667,173.1667,294.02,73,95,5.96
99,Hohhot,CN,2022-05-16 May:44:25,40.8106,111.6522,285.31,24,0,2.0
100,Wajir,KE,2022-05-16 May:44:25,1.7471,40.0573,296.46,74,45,5.09
101,Shingu,JP,2022-05-16 May:44:26,33.7333,135.9833,290.47,79,100,0.93
102,San Rafael,AR,2022-05-16 May:40:39,-34.6177,-68.3301,280.85,42,0,1.95
103,Vaini,TO,2022-05-16 May:44:26,-21.2,-175.2,298.24,65,75,3.09
104,Yar-Sale,RU,2022-05-16 May:44:26,66.8333,70.8333,275.29,99,100,1.4
105,Tuktoyaktuk,CA,2022-05-16 May:44:27,69.4541,-133.0374,274.15,80,100,4.12
106,Prince Rupert,CA,2022-05-16 May:35:57,54.3161,-130.3201,280.2,76,40,12.35
107,La Palma,US,2022-05-16 May:44:27,33.8464,-118.0467,302.49,63,20,6.17
108,Cape Town,ZA,2022-05-16 May:41:16,-33.9258,18.4232,294.21,32,0,4.63
109,Santa Cruz,BO,2022-05-16 May:44:28,-17.8,-63.1667,292.85,55,75,7.72
110,Pangnirtung,CA,2022-05-16 May:44:28,66.1451,-65.7125,268.1,91,33,1.07
111,East London,ZA,2022-05-16 May:44:28,-33.0153,27.9116,293.22,53,0,3.58
112,Grindavik,IS,2022-05-16 May:44:29,63.8424,-22.4338,285.12,66,75,6.69
113,Kapaa,US,2022-05-16 May:44:29,22.0752,-159.319,301.14,78,0,4.12
114,Talnakh,RU,2022-05-16 May:44:30,69.4865,88.3972,275.49,99,100,3.21
115,Ambovombe,MG,2022-05-16 May:44:30,-25.1667,46.0833,293.8,71,1,7.18
116,The Valley,AI,2022-05-16 May:44:30,18.217,-63.0578,300.23,78,20,5.66
117,Yicheng,CN,2022-05-16 May:44:31,31.3705,119.8703,293.95,46,0,2.28
118,Tairua,NZ,2022-05-16 May:44:31,-37.0167,175.85,293.69,75,81,3.67
119,Waipawa,NZ,2022-05-16 May:44:32,-41.4122,175.5153,291.48,75,91,7.93
120,Ukholovo,RU,2022-05-16 May:44:32,53.7929,40.4892,277.66,93,93,4.78
