City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Prince Rupert,CA,54.3161,-130.3201,48.29,87,100,8.05,mist
80,Ratnagiri,IN,16.9833,73.3,78.19,87,100,5.28,overcast clouds
81,Jardim,BR,-21.4803,-56.1381,54.16,59,0,3.94,clear sky
82,Rorvik,NO,64.8621,11.2373,48.09,84,84,10.13,broken clouds
83,Half Moon Bay,US,37.4636,-122.4286,79.25,51,0,25.32,haze
84,Anadyr,RU,64.75,177.4833,36.25,88,95,4.25,overcast clouds
85,Port Hedland,AU,-20.3167,118.5667,75.25,100,14,4.61,few clouds
86,Rey Bouba,CM,8.6724,14.1786,80.01,69,97,3.22,overcast clouds
87,Isangel,VU,-19.55,169.2667,79.97,83,83,24.63,broken clouds
88,Vaini,TO,-21.2,-175.2,82.56,69,20,6.91,few clouds
89,Pangai,TO,-19.8,-174.35,78.3,79,95,16.75,overcast clouds
90,Khatanga,RU,71.9667,102.5,36.14,81,100,10.94,overcast clouds
91,Kapit,MY,2.0167,112.9333,75.94,96,96,0.96,overcast clouds
92,Cape Town,ZA,-33.9258,18.4232,54.12,87,58,5.44,broken clouds
93,Qaanaaq,GL,77.484,-69.3632,14.05,89,37,2.57,scattered clouds
94,Itoman,JP,26.1247,127.6694,77.4,88,75,14.97,broken clouds
95,Kavaratti,IN,10.5669,72.642,82.36,80,90,13.67,overcast clouds
96,Houston,US,29.7633,-95.3633,90.3,69,0,28.77,clear sky
97,Bambous Virieux,MU,-20.3428,57.7575,75.22,83,40,8.05,scattered clouds
98,Hofn,IS,64.2539,-15.2082,47.19,95,100,12.73,light rain
99,Kavieng,PG,-2.5744,150.7967,83.55,74,79,10.85,light rain
100,North Bend,US,43.4065,-124.2243,63.25,77,0,27.63,clear sky
101,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,0,14.97,clear sky
102,Castro,BR,-24.7911,-50.0119,44.22,85,0,3.24,clear sky
103,Tautira,PF,-17.7333,-149.15,79.12,73,12,7.65,light rain
104,Iqaluit,CA,63.7506,-68.5145,30.76,95,94,10.85,overcast clouds
105,Noumea,NC,-22.2763,166.4572,80.58,99,100,18.79,overcast clouds
106,Kodiak,US,57.79,-152.4072,45.91,81,100,18.41,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,31.35,91,100,6.17,overcast clouds
108,Lasa,IT,46.6166,10.7002,60.37,85,98,3.04,overcast clouds
109,Vanimo,PG,-2.6741,141.3028,83.05,75,42,6.58,scattered clouds
110,Cockburn Town,TC,21.4612,-71.1419,79.93,87,100,20.8,overcast clouds
111,Ilulissat,GL,69.2167,-51.1,35.62,75,40,0.0,scattered clouds
112,Baykit,RU,61.67,96.37,53.4,76,41,3.83,scattered clouds
113,Nizwa,OM,22.9333,57.5333,82.85,28,11,0.96,few clouds
114,Awjilah,LY,29.1081,21.2869,66.02,36,0,11.72,clear sky
115,Geraldton,AU,-28.7667,114.6,54.01,94,0,11.5,clear sky
116,Kokoda,PG,-8.8785,147.7407,81.91,78,40,3.89,scattered clouds
117,Olafsvik,IS,64.8945,-23.7142,46.89,89,100,7.43,overcast clouds
118,Ilhabela,BR,-23.7781,-45.3581,61.79,83,13,2.93,few clouds
119,Cochrane,CA,51.1834,-114.4687,47.53,63,100,15.68,overcast clouds
120,Santa Maria,BR,-29.6842,-53.8069,49.51,85,0,4.0,clear sky
121,Gondanglegi,ID,-7.7479,112.0132,75.22,91,100,3.56,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,75.25,83,40,8.05,scattered clouds
123,Booue,GA,-0.0921,11.9385,73.15,98,100,3.18,light rain
124,Waipawa,NZ,-41.4122,175.5153,54.9,61,1,16.42,clear sky
125,Quatre Cocos,MU,-20.2078,57.7625,75.09,66,70,15.75,broken clouds
126,Broome,US,42.2506,-75.833,72.19,77,100,7.0,overcast clouds
127,Dingzhou,CN,38.5131,114.9956,77.92,34,0,7.31,clear sky
128,Bubaque,GW,11.2833,-15.8333,78.91,80,21,16.87,few clouds
129,Avarua,CK,-21.2078,-159.775,82.45,65,75,6.91,broken clouds
130,Kez,RU,57.8979,53.7152,33.67,87,85,7.63,overcast clouds
131,Yelizovo,RU,53.1873,158.3805,41.14,100,100,8.95,overcast clouds
132,Campana,AR,-34.1687,-58.9591,56.1,79,5,5.64,clear sky
133,Kilis,TR,36.7161,37.115,57.43,35,0,4.59,clear sky
134,Alta Floresta,BR,-9.8756,-56.0861,66.36,66,74,2.44,broken clouds
135,Xianshuigu,CN,38.985,117.3828,73.4,56,0,6.71,clear sky
136,Chalon-Sur-Saone,FR,46.7833,4.85,60.15,95,71,4.29,broken clouds
137,Khorixas,NA,-20.3667,14.9667,46.02,48,0,5.61,clear sky
138,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,20.71,scattered clouds
139,San Patricio,US,28.017,-97.5169,86.72,70,42,21.9,scattered clouds
140,Parnamirim,BR,-5.9156,-35.2628,82.29,83,40,8.05,light rain
141,Namibe,AO,-15.1961,12.1522,66.25,68,30,8.61,scattered clouds
142,Bodden Town,KY,19.2833,-81.25,82.99,77,20,13.8,few clouds
143,Evensk,RU,61.95,159.2333,44.06,68,76,16.35,broken clouds
144,Lososina,RU,48.9975,140.3106,43.47,93,100,5.82,overcast clouds
145,Kadaya,RU,50.9327,119.2911,59.79,33,35,8.32,scattered clouds
146,Provideniya,RU,64.3833,-173.3,48.54,55,30,9.08,scattered clouds
147,Tulun,RU,54.5611,100.5792,57.45,73,100,5.23,overcast clouds
148,Guerrero Negro,MX,27.9769,-114.0611,68.47,62,0,17.65,clear sky
149,Saldanha,ZA,-33.0117,17.9442,48.25,74,2,12.88,clear sky
150,Coahuayana,MX,18.7333,-103.6833,81.9,60,13,7.0,few clouds
151,Semme,FR,46.1963,1.5007,63.01,97,25,1.54,scattered clouds
152,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,33,1.01,scattered clouds
153,Bilibino,RU,68.0546,166.4372,41.41,77,14,2.33,few clouds
154,Bengkulu,ID,-3.8004,102.2655,76.32,84,78,3.8,broken clouds
155,Mastic Beach,US,40.7668,-72.8521,66.42,90,100,9.22,moderate rain
156,Cururupu,BR,-1.8283,-44.8683,72.9,97,74,1.32,broken clouds
157,Charters Towers,AU,-20.1,146.2667,67.75,76,73,13.73,broken clouds
158,Bad Mergentheim,DE,49.4925,9.7736,62.15,95,68,9.08,broken clouds
159,Clyde River,CA,70.4692,-68.5914,23.23,86,100,6.91,overcast clouds
160,Namtsy,RU,62.7161,129.6658,40.93,90,85,5.66,light rain
161,Kodinsk,RU,58.6881,99.1844,60.98,50,38,2.84,scattered clouds
162,Belmonte,BR,-15.8631,-38.8828,70.61,62,45,7.87,scattered clouds
